File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Pen.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_ReturnCursor.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Save.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Shapes.g.i.cs,114,78,42,2,21,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_StrokeSelect.g.i.cs,121,83,45,2,23,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_StrokeThickness.g.i.cs,75,48,31,1,12,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_StrokeWeight.g.i.cs,98,66,38,2,17,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Text.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_BoxSelector.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_ClipboardInner.g.i.cs,76,49,32,1,12,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_GridDisplay.g.i.cs,134,92,46,2,27,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_HorizontalRuler.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_MouseCoords.g.i.cs,100,67,38,2,18,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Measure_VerticalRuler.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Notes_Clipboard.g.i.cs,91,61,37,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Notes_ClipboardInner.g.i.cs,145,100,51,2,30,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Notes_QuickNotes.g.i.cs,115,79,43,2,21,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Notes_ScreenClipping.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_ColorDisplay.g.cs,128,87,45,2,26,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_ColorDisplay.g.i.cs,128,87,45,2,26,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Eyedropper.g.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Eyedropper.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors\Colors_Sliders.g.cs,105,72,40,3,18,0,15,42,0,0
